,pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url,hp_norm,atk_norm,def_norm,sp_atk_norm,sp_def_norm,speed_norm
332,333,Swablu,Normal,Flying,45,40,60,40,75,50,310,0.4,1.2,62.0,"['natural-cure', 'cloud-nine']",cloud-nine,generation-3,,,False,blue,wings,flying|dragon,forest,slow-then-very-fast,255,70,Cotton Bird Pokémon,168,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,0.1732283464566929,0.1891891891891892,0.2244897959183673,0.145631067961165,0.2391304347826087,0.2307692307692307
333,334,Altaria,Dragon,Flying,75,70,90,70,105,80,490,1.1,20.6,172.0,"['natural-cure', 'cloud-nine']",cloud-nine,generation-3,,,False,blue,wings,flying|dragon,forest,slow-then-very-fast,45,70,Humming Pokémon,168,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,0.2913385826771653,0.3513513513513513,0.3469387755102041,0.2912621359223301,0.3695652173913043,0.3846153846153846
334,335,Zangoose,Normal,None,73,115,60,60,60,90,458,1.3,40.3,160.0,"['immunity', 'toxic-boost']",toxic-boost,generation-3,,,False,white,upright,ground,grassland,slow-then-very-fast,90,70,Cat Ferret Pokémon,169,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,0.2834645669291338,0.5945945945945946,0.2244897959183673,0.2427184466019417,0.1739130434782608,0.4358974358974359
335,336,Seviper,Poison,None,73,100,60,100,60,65,458,2.7,52.5,160.0,"['shed-skin', 'infiltrator']",infiltrator,generation-3,,,False,black,squiggle,ground|dragon,grassland,fast-then-very-slow,90,70,Fang Snake Pokémon,170,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,0.2834645669291338,0.5135135135135135,0.2244897959183673,0.4368932038834951,0.1739130434782608,0.3076923076923077
336,337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,1.0,168.0,161.0,['levitate'],,generation-3,,,False,yellow,ball,mineral,cave,fast,45,70,Meteorite Pokémon,171,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,0.3503937007874015,0.2702702702702703,0.2448979591836734,0.4126213592233009,0.2826086956521739,0.3333333333333333
337,338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,1.2,154.0,161.0,['levitate'],,generation-3,,,False,red,ball,mineral,cave,fast,45,70,Meteorite Pokémon,172,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,0.3503937007874015,0.4864864864864865,0.3265306122448979,0.2184466019417475,0.1956521739130435,0.3333333333333333
338,339,Barboach,Water,Ground,50,48,43,46,41,60,288,0.4,1.9,58.0,"['oblivious', 'anticipation', 'hydration']",hydration,generation-3,,,False,gray,fish,water2,waters-edge,medium,190,70,Whiskers Pokémon,173,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,0.1929133858267716,0.2324324324324324,0.1551020408163265,0.174757281553398,0.0913043478260869,0.282051282051282
339,340,Whiscash,Water,Ground,110,78,73,76,71,60,468,0.9,23.6,164.0,"['oblivious', 'anticipation', 'hydration']",hydration,generation-3,,,False,blue,fish,water2,waters-edge,medium,75,70,Whiskers Pokémon,173,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,0.4291338582677165,0.3945945945945946,0.2775510204081632,0.3203883495145631,0.2217391304347826,0.282051282051282
340,341,Corphish,Water,None,43,80,65,50,35,35,308,0.6,11.5,62.0,"['hyper-cutter', 'shell-armor', 'adaptability']",adaptability,generation-3,,,False,red,armor,water1|water3,waters-edge,fast-then-very-slow,205,70,Ruffian Pokémon,174,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,0.1653543307086614,0.4054054054054054,0.2448979591836734,0.1941747572815534,0.0652173913043478,0.1538461538461538
341,342,Crawdaunt,Water,Dark,63,120,85,90,55,55,468,1.1,32.8,164.0,"['hyper-cutter', 'shell-armor', 'adaptability']",adaptability,generation-3,,,False,red,armor,water1|water3,waters-edge,fast-then-very-slow,155,70,Rogue Pokémon,174,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,0.2440944881889764,0.6216216216216216,0.3265306122448979,0.3883495145631068,0.1521739130434782,0.2564102564102564
342,343,Baltoy,Ground,Psychic,40,40,55,40,70,55,300,0.5,21.5,60.0,['levitate'],,generation-3,,,False,brown,arms,mineral,rough-terrain,medium,255,70,Clay Doll Pokémon,175,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,0.1535433070866141,0.1891891891891892,0.2040816326530612,0.145631067961165,0.217391304347826,0.2564102564102564
343,344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,1.5,108.0,175.0,['levitate'],,generation-3,,,False,black,arms,mineral,rough-terrain,medium,90,70,Clay Doll Pokémon,175,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,0.2322834645669291,0.3513513513513513,0.4081632653061224,0.2912621359223301,0.4347826086956521,0.358974358974359
344,345,Lileep,Rock,Grass,66,41,77,61,87,23,355,1.0,23.8,71.0,"['suction-cups', 'storm-drain']",storm-drain,generation-3,,,False,purple,blob,water3,sea,slow-then-very-fast,45,70,Sea Lily Pokémon,176,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,0.2559055118110236,0.1945945945945946,0.2938775510204082,0.2475728155339805,0.2913043478260869,0.0923076923076923
345,346,Cradily,Rock,Grass,86,81,97,81,107,43,495,1.5,60.4,173.0,"['suction-cups', 'storm-drain']",storm-drain,generation-3,,,False,green,blob,water3,sea,slow-then-very-fast,45,70,Barnacle Pokémon,176,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,0.3346456692913386,0.4108108108108108,0.3755102040816326,0.3446601941747573,0.3782608695652174,0.1948717948717948
346,347,Anorith,Rock,Bug,45,95,50,40,50,75,355,0.7,12.5,71.0,"['battle-armor', 'swift-swim']",swift-swim,generation-3,,,False,gray,armor,water3,waters-edge,slow-then-very-fast,45,70,Old Shrimp Pokémon,177,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,0.1732283464566929,0.4864864864864865,0.1836734693877551,0.145631067961165,0.1304347826086956,0.358974358974359
347,348,Armaldo,Rock,Bug,75,125,100,70,80,45,495,1.5,68.2,173.0,"['battle-armor', 'swift-swim']",swift-swim,generation-3,,,False,gray,upright,water3,waters-edge,slow-then-very-fast,45,70,Plate Pokémon,177,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,0.2913385826771653,0.6486486486486487,0.3877551020408163,0.2912621359223301,0.2608695652173913,0.2051282051282051
348,349,Feebas,Water,None,20,15,20,10,55,80,200,0.6,7.4,40.0,"['swift-swim', 'oblivious', 'adaptability']",adaptability,generation-3,,,False,brown,fish,water1|dragon,waters-edge,slow-then-very-fast,255,70,Fish Pokémon,178,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,0.0748031496062992,0.054054054054054,0.0612244897959183,0.0,0.1521739130434782,0.3846153846153846
349,350,Milotic,Water,None,95,60,79,100,125,81,540,6.2,162.0,189.0,"['marvel-scale', 'competitive', 'cute-charm']",cute-charm,generation-3,,,False,pink,squiggle,water1|dragon,waters-edge,slow-then-very-fast,60,70,Tender Pokémon,178,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,0.3700787401574803,0.2972972972972973,0.3020408163265306,0.4368932038834951,0.4565217391304347,0.3897435897435897
350,351,Castform,Normal,None,70,70,70,70,70,70,420,0.3,0.8,147.0,['forecast'],,generation-3,,,False,gray,ball,fairy|indeterminate,grassland,medium,45,70,Weather Pokémon,179,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,0.2716535433070866,0.3513513513513513,0.2653061224489796,0.2912621359223301,0.217391304347826,0.3333333333333333
351,352,Kecleon,Normal,None,60,90,70,60,120,40,440,1.0,22.0,154.0,"['color-change', 'protean']",protean,generation-3,,,False,green,upright,ground,forest,medium-slow,200,70,Color Swap Pokémon,180,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,0.2322834645669291,0.4594594594594595,0.2653061224489796,0.2427184466019417,0.4347826086956521,0.1794871794871795
352,353,Shuppet,Ghost,None,44,75,35,63,33,45,295,0.6,2.3,59.0,"['insomnia', 'frisk', 'cursed-body']",cursed-body,generation-3,,,False,black,ball,indeterminate,urban,fast,225,35,Puppet Pokémon,181,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,0.1692913385826771,0.3783783783783784,0.1224489795918367,0.2572815533980582,0.0565217391304347,0.2051282051282051
353,354,Banette,Ghost,None,64,115,65,83,63,65,455,1.1,12.5,159.0,"['insomnia', 'frisk', 'cursed-body']",cursed-body,generation-3,,,False,black,upright,indeterminate,urban,fast,45,35,Marionette Pokémon,181,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,0.2480314960629921,0.5945945945945946,0.2448979591836734,0.3543689320388349,0.1869565217391304,0.3076923076923077
354,355,Duskull,Ghost,None,20,40,90,30,90,25,295,0.8,15.0,59.0,"['levitate', 'frisk']",frisk,generation-3,,,False,black,arms,indeterminate,forest,fast,190,35,Requiem Pokémon,182,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,0.0748031496062992,0.1891891891891892,0.3469387755102041,0.0970873786407767,0.3043478260869565,0.1025641025641025
355,356,Dusclops,Ghost,None,40,70,130,60,130,25,455,1.6,30.6,159.0,"['pressure', 'frisk']",frisk,generation-3,,,False,black,humanoid,indeterminate,forest,fast,90,35,Beckon Pokémon,182,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,0.1535433070866141,0.3513513513513513,0.5102040816326531,0.2427184466019417,0.4782608695652174,0.1025641025641025
356,357,Tropius,Grass,Flying,99,68,83,72,87,51,460,2.0,100.0,161.0,"['chlorophyll', 'solar-power', 'harvest']",harvest,generation-3,,,False,green,quadruped,monster|plant,forest,slow,200,70,Fruit Pokémon,183,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,0.3858267716535433,0.3405405405405405,0.3183673469387755,0.3009708737864077,0.2913043478260869,0.2358974358974359
357,358,Chimecho,Psychic,None,75,50,80,95,90,65,455,0.6,1.0,159.0,['levitate'],,generation-3,,,False,blue,arms,indeterminate,grassland,fast,45,70,Wind Chime Pokémon,184,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,0.2913385826771653,0.2432432432432432,0.3061224489795918,0.4126213592233009,0.3043478260869565,0.3076923076923077
358,359,Absol,Dark,None,65,130,60,75,60,75,465,1.2,47.0,163.0,"['pressure', 'super-luck', 'justified']",justified,generation-3,,,False,white,quadruped,ground,mountain,medium-slow,30,35,Disaster Pokémon,185,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,0.2519685039370078,0.6756756756756757,0.2244897959183673,0.3155339805825243,0.1739130434782608,0.358974358974359
359,360,Wynaut,Psychic,None,95,23,48,23,48,23,260,0.6,14.0,52.0,"['shadow-tag', 'telepathy']",telepathy,generation-3,,,True,blue,upright,no-eggs,cave,medium,125,70,Bright Pokémon,100,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,0.3700787401574803,0.0972972972972973,0.1755102040816326,0.0631067961165048,0.1217391304347826,0.0923076923076923
360,361,Snorunt,Ice,None,50,50,50,50,50,50,300,0.7,16.8,60.0,"['inner-focus', 'ice-body', 'moody']",moody,generation-3,,,False,gray,humanoid,fairy|mineral,cave,medium,190,70,Snow Hat Pokémon,186,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,0.1929133858267716,0.2432432432432432,0.1836734693877551,0.1941747572815534,0.1304347826086956,0.2307692307692307
361,362,Glalie,Ice,None,80,80,80,80,80,80,480,1.5,256.5,168.0,"['inner-focus', 'ice-body', 'moody']",moody,generation-3,,,False,gray,ball,fairy|mineral,cave,medium,75,70,Face Pokémon,186,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,0.3110236220472441,0.4054054054054054,0.3061224489795918,0.3398058252427184,0.2608695652173913,0.3846153846153846
362,363,Spheal,Ice,Water,70,40,50,55,50,25,290,0.8,39.5,58.0,"['thick-fat', 'ice-body', 'oblivious']",oblivious,generation-3,,,False,blue,fish,water1|ground,sea,medium-slow,255,70,Clap Pokémon,187,"SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,0.2716535433070866,0.1891891891891892,0.1836734693877551,0.2184466019417475,0.1304347826086956,0.1025641025641025
363,364,Sealeo,Ice,Water,90,60,70,75,70,45,410,1.1,87.6,144.0,"['thick-fat', 'ice-body', 'oblivious']",oblivious,generation-3,,,False,blue,fish,water1|ground,sea,medium-slow,120,70,Ball Roll Pokémon,187,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,0.3503937007874015,0.2972972972972973,0.2653061224489796,0.3155339805825243,0.217391304347826,0.2051282051282051
364,365,Walrein,Ice,Water,110,80,90,95,90,65,530,1.4,150.6,239.0,"['thick-fat', 'ice-body', 'oblivious']",oblivious,generation-3,,,False,blue,quadruped,water1|ground,sea,medium-slow,45,70,Ice Break Pokémon,187,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,0.4291338582677165,0.4054054054054054,0.3469387755102041,0.4126213592233009,0.3043478260869565,0.3076923076923077
365,366,Clamperl,Water,None,35,64,85,74,55,32,345,0.4,52.5,69.0,"['shell-armor', 'rattled']",rattled,generation-3,,,False,blue,ball,water1,sea,slow-then-very-fast,255,70,Bivalve Pokémon,188,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,0.1338582677165354,0.3189189189189189,0.3265306122448979,0.3106796116504854,0.1521739130434782,0.1384615384615384
366,367,Huntail,Water,None,55,104,105,94,75,52,485,1.7,27.0,170.0,"['swift-swim', 'water-veil']",water-veil,generation-3,,,False,blue,squiggle,water1,sea,slow-then-very-fast,60,70,Deep Sea Pokémon,188,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,0.2125984251968504,0.5351351351351351,0.4081632653061224,0.4077669902912621,0.2391304347826087,0.241025641025641
367,368,Gorebyss,Water,None,55,84,105,114,75,52,485,1.8,22.6,170.0,"['swift-swim', 'hydration']",hydration,generation-3,,,False,pink,squiggle,water1,sea,slow-then-very-fast,60,70,South Sea Pokémon,188,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,0.2125984251968504,0.427027027027027,0.4081632653061224,0.5048543689320388,0.2391304347826087,0.241025641025641
368,369,Relicanth,Water,Rock,100,90,130,45,65,55,485,1.0,23.4,170.0,"['swift-swim', 'rock-head', 'sturdy']",sturdy,generation-3,,,False,gray,fish,water1|water2,sea,slow,25,70,Longevity Pokémon,189,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,0.389763779527559,0.4594594594594595,0.5102040816326531,0.1699029126213592,0.1956521739130435,0.2564102564102564
369,370,Luvdisc,Water,None,43,30,55,40,65,97,330,0.6,8.7,116.0,"['swift-swim', 'hydration']",hydration,generation-3,,,False,pink,fish,water2,sea,fast,225,70,Rendezvous Pokémon,190,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,0.1653543307086614,0.1351351351351351,0.2040816326530612,0.145631067961165,0.1956521739130435,0.4717948717948718
370,371,Bagon,Dragon,None,45,75,60,40,30,50,300,0.6,42.1,60.0,"['rock-head', 'sheer-force']",sheer-force,generation-3,,,False,blue,humanoid,dragon,rough-terrain,slow,45,35,Rock Head Pokémon,191,"Dreaming of one day flying, it practices by leaping off cliffs every day.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,0.1732283464566929,0.3783783783783784,0.2244897959183673,0.145631067961165,0.0434782608695652,0.2307692307692307
371,372,Shelgon,Dragon,None,65,95,100,60,50,50,420,1.1,110.5,147.0,"['rock-head', 'overcoat']",overcoat,generation-3,,,False,white,quadruped,dragon,rough-terrain,slow,45,35,Endurance Pokémon,191,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,0.2519685039370078,0.4864864864864865,0.3877551020408163,0.2427184466019417,0.1304347826086956,0.2307692307692307
372,373,Salamence,Dragon,Flying,95,135,80,110,80,100,600,1.5,102.6,270.0,"['intimidate', 'moxie']",moxie,generation-3,,,False,blue,quadruped,dragon,rough-terrain,slow,45,35,Dragon Pokémon,191,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,0.3700787401574803,0.7027027027027027,0.3061224489795918,0.4854368932038835,0.2608695652173913,0.4871794871794871
373,374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,0.6,95.2,60.0,"['clear-body', 'light-metal']",light-metal,generation-3,,,False,blue,blob,mineral,rough-terrain,slow,3,35,Iron Ball Pokémon,192,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,0.1535433070866141,0.2702702702702703,0.3061224489795918,0.1213592233009708,0.1739130434782608,0.1282051282051282
374,375,Metang,Steel,Psychic,60,75,100,55,80,50,420,1.2,202.5,147.0,"['clear-body', 'light-metal']",light-metal,generation-3,,,False,blue,arms,mineral,rough-terrain,slow,3,35,Iron Claw Pokémon,192,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,0.2322834645669291,0.3783783783783784,0.3877551020408163,0.2184466019417475,0.2608695652173913,0.2307692307692307
375,376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,1.6,550.0,270.0,"['clear-body', 'light-metal']",light-metal,generation-3,,,False,blue,heads,mineral,rough-terrain,slow,3,35,Iron Leg Pokémon,192,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,0.3110236220472441,0.7027027027027027,0.5102040816326531,0.4126213592233009,0.3043478260869565,0.3333333333333333
376,377,Regirock,Rock,None,80,100,200,50,100,50,580,1.7,230.0,261.0,"['clear-body', 'sturdy']",sturdy,generation-3,,,False,brown,humanoid,no-eggs,cave,slow,3,35,Rock Peak Pokémon,193,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,0.3110236220472441,0.5135135135135135,0.7959183673469388,0.1941747572815534,0.3478260869565217,0.2307692307692307
377,378,Regice,Ice,None,80,50,100,100,200,50,580,1.8,175.0,261.0,"['clear-body', 'ice-body']",ice-body,generation-3,,,False,blue,humanoid,no-eggs,cave,slow,3,35,Iceberg Pokémon,194,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,0.3110236220472441,0.2432432432432432,0.3877551020408163,0.4368932038834951,0.782608695652174,0.2307692307692307
378,379,Registeel,Steel,None,80,75,150,75,150,50,580,1.9,205.0,261.0,"['clear-body', 'light-metal']",light-metal,generation-3,,,False,gray,humanoid,no-eggs,cave,slow,3,35,Iron Pokémon,195,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,0.3110236220472441,0.3783783783783784,0.5918367346938775,0.3155339805825243,0.5652173913043478,0.2307692307692307
379,380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,1.4,40.0,270.0,['levitate'],,generation-3,,,False,red,wings,no-eggs,waters-edge,slow,3,90,Eon Pokémon,196,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,0.3110236220472441,0.4054054054054054,0.3469387755102041,0.4854368932038835,0.4782608695652174,0.5384615384615384
380,381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,2.0,60.0,270.0,['levitate'],,generation-3,,,False,blue,wings,no-eggs,waters-edge,slow,3,90,Eon Pokémon,197,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,0.3110236220472441,0.4594594594594595,0.3061224489795918,0.5825242718446602,0.391304347826087,0.5384615384615384
381,382,Kyogre,Water,None,100,100,90,150,140,90,670,4.5,352.0,302.0,['drizzle'],,generation-3,,,False,blue,fish,no-eggs,sea,slow,3,0,Sea Basin Pokémon,198,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,0.389763779527559,0.5135135135135135,0.3469387755102041,0.6796116504854369,0.5217391304347826,0.4358974358974359
382,383,Groudon,Ground,None,100,150,140,100,90,90,670,3.5,950.0,302.0,['drought'],,generation-3,,,False,red,upright,no-eggs,rough-terrain,slow,3,0,Continent Pokémon,199,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,0.389763779527559,0.7837837837837838,0.5510204081632653,0.4368932038834951,0.3043478260869565,0.4358974358974359
383,384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,7.0,206.5,306.0,['air-lock'],,generation-3,,,False,green,squiggle,no-eggs,rare,slow,45,0,Sky High Pokémon,200,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,0.4094488188976378,0.7837837837837838,0.3469387755102041,0.6796116504854369,0.3043478260869565,0.4615384615384615
